company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
AXIS Reins Co - 20370," 4,454 ",0.0004%," 5,888 ", 77 ,1.31%,2019
Berkley Natl Ins Co - 38911," 36,431 ",0.0034%," 44,000 "," 28,522 ",64.82%,2019
Berkley Regional Ins Co - 29580," 221,750 ",0.0205%," 197,814 "," (18,958)",-9.58%,2019
Berkshire Hathaway Specialty Ins Co - 22276," 8,083 ",0.0007%," 4,455 ", 528 ,11.85%,2019
BITCO Gen Ins Corp - 20095," 3,993 ",0.0004%," 2,565 "," 11,193 ",436.37%,2019
BITCO Natl Ins Co - 20109," 7,344 ",0.0007%," 4,915 ", 111 ,2.26%,2019
California Automobile Ins Co - 38342," 3,687,203 ",0.3410%," 649,444 "," 176,782 ",27.22%,2019
California Capital Ins Co - 13544," 16,111,724 ",1.4901%," 15,804,519 "," 3,308,858 ",20.94%,2019
California Cas Ind Exch - 20117," 398,547 ",0.0369%," 240,640 "," 356,377 ",148.10%,2019
California Mut Ins Co - 27480," 174,047 ",0.0161%," 164,748 "," 1,000 ",0.61%,2019
Capitol Ind Corp - 10472," 9,996 ",0.0009%," 9,771 ", 621 ,6.36%,2019
Catlin Ins Co - 19518," 9,828,587 ",0.9090%," 4,897,167 "," 4,346,618 ",88.76%,2019
Century Natl Ins Co - 26905," 4,108,570 ",0.3800%," 4,607,481 "," 496,539 ",10.78%,2019
Church Mut Ins Co S I  - 18767," 287,870 ",0.0266%," 180,899 "," 224,983 ",124.37%,2019
Citizens Ins Co Of Amer - 31534," 504,257 ",0.0466%," 387,872 "," 846,853 ",218.33%,2019
Civic Prop & Cas Co  - 10315," 2,693,993 ",0.2492%," 2,582,602 "," 399,394 ",15.46%,2019
Civil Serv Employees Ins Co - 10693," 3,421,401 ",0.3164%," 3,839,218 "," 1,624,003 ",42.30%,2019
Clear Blue Ins Co - 28860," 2,998,380 ",0.2773%," 1,163,053 "," 765,200 ",65.79%,2019
Coastal Select Ins Co - 10887," 139,818 ",0.0129%," 91,259 "," (4,059)",-4.45%,2019
Constitution Ins Co - 32190," 527,035 ",0.0487%," 316,006 "," 243,441 ",77.04%,2019
Continental Cas Co - 20443," 12,020,751 ",1.1118%," 10,134,016 "," (842,470)",-8.31%,2019
Continental Ins Co - 35289," 585,254 ",0.0541%," 275,749 "," (445,604)",-161.60%,2019
Crestbrook Ins Co - 18961," 255,663 ",0.0236%," 176,279 "," 375,093 ",212.78%,2019
Crusader Ins Co - 14010," 136,654 ",0.0126%," 109,389 "," 2,310 ",2.11%,2019
CSAA Fire & Cas Ins Co - 10921," 63,087,834 ",5.8348%," 59,294,160 "," 12,141,362 ",20.48%,2019
CSAA Ins Exch - 15539," 5,176,072 ",0.4787%," 3,144,187 "," 4,679,990 ",148.85%,2019
CSE Safeguard Ins Co - 18953," 36,304,519 ",3.3577%," 35,926,555 "," 24,781,303 ",68.98%,2019
Depositors Ins Co - 42587," 33,708 ",0.0031%," 19,010 "," 35,133 ",184.81%,2019
Diamond State Ins Co - 42048," 21,456 ",0.0020%," 21,631 ", (285),-1.32%,2019
Dorinco Reins Co - 33499," 168,544 ",0.0156%," 174,666 ", -   ,0.00%,2019
Eagle W Ins Co - 12890," 583,046 ",0.0539%," 616,017 "," 88,275 ",14.33%,2019
Electric Ins Co - 21261," 21,216 ",0.0020%," 22,045 ", -   ,0.00%,2019
Empire Fire & Marine Ins Co - 21326," 8,598 ",0.0008%," 10,077 ", (36),-0.36%,2019
Employers Ins Co of Wausau - 21458," 7,944,062 ",0.7347%," 6,257,848 "," 7,159,274 ",114.40%,2019
Employers Mut Cas Co - 21415," 1,619,693 ",0.1498%," 1,470,946 "," 2,953,494 ",200.79%,2019
Encompass Ins Co - 10358," 5,053,113 ",0.4673%," 5,117,414 "," 2,312,445 ",45.19%,2019
Everest Natl Ins Co  - 10120," 18,408 ",0.0017%," 24,168 "," 7,872 ",32.57%,2019
Exact Prop & Cas Co Inc - 10318," 1,742,171 ",0.1611%," 1,732,718 "," 692,653 ",39.97%,2019
Factory Mut Ins Co - 21482," 28,451,305 ",2.6314%," 24,884,738 "," (158,462,041)",-636.78%,2019
Falls Lake Fire & Cas Co - 15884," 22,421 ",0.0021%," 5,477 ", 886 ,16.18%,2019
Farmers Ins Exch - 21652," 9,363,426 ",0.8660%," 9,447,405 "," 5,657,338 ",59.88%,2019
Federal Ins Co - 20281," 2,365,538 ",0.2188%," 1,694,501 "," 6,000,381 ",354.11%,2019
Federated Mut Ins Co - 13935," 4,276,340 ",0.3955%," 4,029,865 "," 490,430 ",12.17%,2019
Federated Rural Electric Ins Exch - 11118," 47,751 ",0.0044%," 46,288 ", 25 ,0.05%,2019
Federated Serv Ins Co - 28304," 699,182 ",0.0647%," 728,183 "," 481,947 ",66.18%,2019
Fidelity & Deposit Co Of MD  - 39306," 2,246,176 ",0.2077%," 5,149,095 "," (3,234,342)",-62.81%,2019
Financial Pacific Ins Co - 31453," 867,595 ",0.0802%," 947,172 "," (373,804)",-39.47%,2019
Fire Ins Exch - 21660," 64,709,209 ",5.9847%," 58,095,792 "," 56,155,468 ",96.66%,2019
Firemans Fund Ins Co - 21873," 3,774,128 ",0.3491%," 2,120,335 "," 855,291 ",40.34%,2019
First Amer Prop & Cas Ins Co - 37710," 111,321 ",0.0103%," 111,321 "," 59,548 ",53.49%,2019
First Amer Specilaty Ins Co - 34525," 25,339,477 ",2.3436%," 25,176,470 "," 12,648,831 ",50.24%,2019
First Natl Ins Co Of Amer - 24724," 11,733 ",0.0011%," 13,271 ", 704 ,5.30%,2019
Florists Mut Ins Co - 13978," 1,545,699 ",0.1430%," 1,299,897 "," 348,137 ",26.78%,2019
Foremost Ins Co Grand Rapids MI - 11185," 41,554,334 ",3.8432%," 37,677,704 "," 3,102,678 ",8.23%,2019
Freedom Specialty Ins Co - 22209," 3,586 ",0.0003%," 3,044 "," 5,343 ",175.53%,2019
Garrison Prop & Cas Ins Co - 21253," 2,048,799 ",0.1895%," 2,061,605 "," 663,753 ",32.20%,2019
General Cas Co Of WI - 24414," 212,200 ",0.0196%," 196,137 "," 114,580 ",58.42%,2019
General Ins Co Of Amer - 24732," 6,693 ",0.0006%," 11,981 "," 35,621 ",297.31%,2019
Geovera Ins Co - 10799," 1,081,151 ",0.1000%," 691,983 "," (20,145)",-2.91%,2019
Geovera Specialty Ins Co - 10182, 105 ,0.0000%, 101 , (26),-25.74%,2019
Golden Bear Ins Co - 39861," 3,147,565 ",0.2911%," 2,493,629 "," 1,939,628 ",77.78%,2019
Golden Eagle Ins Corp - 10836, 81 ,0.0000%, 81 ," 102,899 ",127035.80%,2019
Grange Ins Assn - 22101," 644,925 ",0.0596%," 605,555 "," 175,805 ",29.03%,2019
Granite State Ins Co - 23809," 357,769 ",0.0331%," 572,706 "," 14,054 ",2.45%,2019
Graphic Arts Mut Ins Co - 25984, 4 ,0.0000%, 113 , -   ,0.00%,2019
Great Amer Alliance Ins Co - 26832," 67,528 ",0.0062%," 27,830 "," 2,511 ",9.02%,2019
Great Amer Assur Co - 26344," 68,510 ",0.0063%," 68,635 "," (13,775)",-20.07%,2019
Great Amer Ins Co - 16691," 1,651,923 ",0.1528%," 1,150,625 "," (39,387)",-3.42%,2019
Great Amer Ins Co of NY - 22136," 88,935 ",0.0082%," 400,326 "," (753,523)",-188.23%,2019
Great Divide Ins Co - 25224," 2,985 ",0.0003%," 2,694 ", (24),-0.89%,2019
Great Midwest Ins Co - 18694," 1,558 ",0.0001%," 1,315 "," 1,032 ",78.48%,2019
Great Northern Ins Co - 20303," 112,083 ",0.0104%," 89,890 "," 163,283 ",181.65%,2019
Greenwich Ins Co - 22322," 1,457,391 ",0.1348%," 1,219,069 "," 244,148 ",20.03%,2019
Guideone Mut Ins Co - 15032," 79,899 ",0.0074%," 59,997 ", 976 ,1.63%,2019
Guideone Specialty Mut Ins Co - 14559," 221,328 ",0.0205%," 231,862 "," (372,729)",-160.75%,2019
Hanover Amer Ins Co - 36064," 350,543 ",0.0324%," 242,689 "," 88,044 ",36.28%,2019
Hanover Ins Co - 22292," 643,067 ",0.0595%," 499,656 "," 238,178 ",47.67%,2019
Harco Natl Ins Co - 26433," 5,517,930 ",0.5103%," 4,537,828 "," 3,172,025 ",69.90%,2019
Harleysville Ins Co - 23582," 4,606 ",0.0004%," 3,183 "," 6,754 ",212.19%,2019
Hartford Cas Ins Co - 29424," 80,691 ",0.0075%," 88,326 ", (121),-0.14%,2019
Hartford Fire Ins Co - 19682," 11,453,312 ",1.0593%," 7,544,877 "," 5,997,087 ",79.49%,2019
Hartford Underwriters Ins Co - 30104," 1,018,196 ",0.0942%," 1,086,235 "," 528,216 ",48.63%,2019
HDI Global Ins Co - 41343," 10,062,093 ",0.9306%," 7,554,356 "," 23,158,168 ",306.55%,2019
Hiscox Ins Co Inc - 10200," 1,504,453 ",0.1391%," 1,316,943 "," 74,836 ",5.68%,2019
Horace Mann Ins Co - 22578," 537,420 ",0.0497%," 559,345 "," 1,238,095 ",221.35%,2019
Horace Mann Prop & Cas Ins Co - 22756," 113,673 ",0.0105%," 120,020 "," 90,500 ",75.40%,2019
Hudson Ins Co - 25054," 31,360 ",0.0029%," 31,086 "," 2,180 ",7.01%,2019
Hyundai Marine & Fire Ins Co Ltd - 10048," 211,229 ",0.0195%," 227,012 "," 18,349 ",8.08%,2019
Imperium Ins Co - 35408," 3,019 ",0.0003%," 2,916 ", -   ,0.00%,2019
Indemnity Ins Co Of North Amer - 43575," 29,341 ",0.0027%," 30,126 "," (6,146)",-20.40%,2019
Insurance Co of N Amer - 22713," 2,306,256 ",0.2133%," 1,806,040 "," 6,242,005 ",345.62%,2019
Insurance Co Of The State Of PA - 19429," 10,474,939 ",0.9688%," 12,351,984 "," 1,109,356 ",8.98%,2019
Integon Natl Ins Co - 29742," 2,576,588 ",0.2383%," 2,430,999 "," 878,373 ",36.13%,2019
Interins Exch Of The Automobile Club - 15598," 21,377,962 ",1.9772%," 20,964,649 "," 7,638,265 ",36.43%,2019
Kemper Independence Ins Co - 10914," 4,358,335 ",0.4031%," 4,394,091 "," 3,189,194 ",72.58%,2019
Kookmin Best Ins Co Ltd - 37800," 174,088 ",0.0161%," 102,886 "," 168,228 ",163.51%,2019
Liberty Mut Fire Ins Co - 23035," 19,592,966 ",1.8121%," 19,984,695 "," (3,263,841)",-16.33%,2019
Liberty Mut Ins Co - 23043," 5,450,668 ",0.5041%," 3,471,371 "," (40,796,702)",-1175.23%,2019
Manufacturers Alliance Ins Co - 36897, 528 ,0.0000%," 1,606 ", 434 ,27.02%,2019
Mapfre Ins Co - 23876," 146,281 ",0.0135%," 152,196 "," (50,374)",-33.10%,2019
Markel Amer Ins Co - 28932," 84,170 ",0.0078%," 65,183 "," 92,317 ",141.63%,2019
Markel Ins Co - 38970," 14,364 ",0.0013%," 14,854 ", (657),-4.42%,2019
Massachusetts Bay Ins Co - 22306," 823,516 ",0.0762%," 682,624 "," 323,436 ",47.38%,2019
Mercury Cas Co - 11908," 16,377,027 ",1.5147%," 16,135,677 "," 11,041,072 ",68.43%,2019
Metropolitan Drt Prop & Cas Ins Co - 25321," 354,714 ",0.0328%," 205,396 "," 228,543 ",111.27%,2019
Mid Century Ins Co - 21687," 3,368 ",0.0003%," 3,271 ", (24),-0.73%,2019
Middlesex Ins Co - 23434," 617,259 ",0.0571%," 414,386 "," 181,744 ",43.86%,2019
Mitsui Sumitomo Ins Co of Amer - 20362," 857,735 ",0.0793%," 620,066 "," 254,296 ",41.01%,2019
Mitsui Sumitomo Ins USA Inc - 22551," 81,819 ",0.0076%," 71,248 "," 74,243 ",104.20%,2019
Monterey Ins Co - 23540," 92,187 ",0.0085%," 57,038 "," 86,371 ",151.43%,2019
National Amer Ins Co - 23663," 1,258 ",0.0001%, 488 , 72 ,14.75%,2019
National Cas Co - 11991, 257 ,0.0000%, 176 , 397 ,225.57%,2019
National Fire Ins Co Of Hartford - 20478," 33,097 ",0.0031%," 27,135 "," 227,258 ",837.51%,2019
National Interstate Ins Co - 32620," 7,770 ",0.0007%," 7,435 "," 1,322 ",17.78%,2019
National Union Fire Ins Co Of Pitts - 19445," 6,307,200 ",0.5833%," 5,981,869 "," 182,302 ",3.05%,2019
Nationwide Agribusiness Ins Co - 28223," 1,624,769 ",0.1503%," 1,650,338 "," 990,896 ",60.04%,2019
Nationwide Ins Co Of Amer - 25453," 3,604,050 ",0.3333%," 3,552,159 "," 3,697,700 ",104.10%,2019
Nationwide Mut Fire Ins Co - 23779," 235,503 ",0.0218%," 229,133 "," 125,352 ",54.71%,2019
Nationwide Mut Ins Co - 23787," 6,622,373 ",0.6125%," 6,471,543 "," 2,554,484 ",39.47%,2019
Neighborhood Spirit Prop & Cas Co - 10317," 8,644,681 ",0.7995%," 8,600,835 "," 2,203,494 ",25.62%,2019
Netherlands Ins Co The - 24171, 210 ,0.0000%," 2,017 "," (4,181,361)",-207305.95%,2019
New Hampshire Ins Co - 23841," 35,876 ",0.0033%," 58,019 ", (253),-0.44%,2019
North Amer Elite Ins Co - 29700," 3,735,520 ",0.3455%," 3,604,375 "," 238,452 ",6.62%,2019
North Amer Specialty Ins Co - 29874," 52,660 ",0.0049%," 50,898 "," 4,927 ",9.68%,2019
North River Ins Co - 21105," 453,807 ",0.0420%," 116,990 "," 208,338 ",178.08%,2019
Nova Cas Co - 42552," 144,830 ",0.0134%," 84,051 "," 446,953 ",531.76%,2019
Ohio Cas Ins Co - 24074," 650,470 ",0.0602%," 668,417 "," 5,779 ",0.86%,2019
Ohio Security Ins Co - 24082," 2,620,609 ",0.2424%," 2,483,776 "," 1,579,830 ",63.61%,2019
Oregon Mut Ins Co - 14907," 1,107,235 ",0.1024%," 1,097,154 "," 958,516 ",87.36%,2019
Pacific Employers Ins Co - 22748," 3,482,471 ",0.3221%," 3,138,930 "," 3,400,808 ",108.34%,2019
Pacific Ind Co - 20346," 12,390 ",0.0011%," 8,408 "," 28,389 ",337.64%,2019
Pacific Prop & Cas Co - 11048," 401,267 ",0.0371%," 289,993 "," 1,152,642 ",397.47%,2019
Peerless Ins Co - 24198," 4,068,326 ",0.3763%," 4,161,068 "," 2,852,388 ",68.55%,2019
Penn Amer Ins Co - 32859," 7,028 ",0.0006%," 6,551 ", (239),-3.65%,2019
Pennsylvania Lumbermens Mut Ins - 14974," 2,918,649 ",0.2699%," 2,999,573 "," 1,868,101 ",62.28%,2019
Pennsylvania Manufacturers Assoc Ins - 12262," 54,064 ",0.0050%," 49,934 "," 15,400 ",30.84%,2019
Philadelphia Ind Ins Co - 18058," 8,722 ",0.0008%," 9,831 ", 13 ,0.13%,2019
QBE Ins Corp - 39217," 814,458 ",0.0753%," 1,173,391 "," (850,149)",-72.45%,2019
Regent Ins Co - 24449," 38,113 ",0.0035%," 28,957 "," 21,339 ",73.69%,2019
Residence Mut Ins Co - 15776," 2,113,137 ",0.1954%," 2,206,133 "," 1,049,711 ",47.58%,2019
Riverport Ins Co - 36684," 5,098 ",0.0005%," 4,988 "," (13,014)",-260.91%,2019
RSUI Ind Co - 22314," 1,401,406 ",0.1296%," 1,321,245 "," 986,377 ",74.66%,2019
Safeco Ins Co Of Amer - 24740," 60,391,553 ",5.5854%," 57,577,406 "," 21,392,306 ",37.15%,2019
Scottsdale Ind Co - 15580," 189,803 ",0.0176%," 182,483 "," 50,570 ",27.71%,2019
Security Natl Ins Co - 19879," 61,182 ",0.0057%," 123,109 "," 405,286 ",329.21%,2019
Seneca Ins Co Inc - 10936," 1,567,296 ",0.1450%," 1,366,445 "," 119,578 ",8.75%,2019
Sentry Ins A Mut Co - 24988," 1,394,420 ",0.1290%," 1,490,394 "," (477,796)",-32.06%,2019
Sentry Select Ins Co - 21180," 444,171 ",0.0411%," 501,317 "," (2,293,620)",-457.52%,2019
Sequoia Ins Co - 22985," 961,637 ",0.0889%," 614,212 "," (53,640)",-8.73%,2019
Sirius Amer Ins Co - 38776," 39,507 ",0.0037%," 39,507 "," 23,453 ",59.36%,2019
Sompo Amer Ins Co - 11126," 733,169 ",0.0678%," 727,188 "," (756,957)",-104.09%,2019
St Paul Fire & Marine Ins Co - 24767," 163,784 ",0.0151%," 203,717 "," 210,867 ",103.51%,2019
St Paul Guardian Ins Co - 24775, 230 ,0.0000%, 217 , 928 ,427.65%,2019
Standard Fire Ins Co - 19070," 6,207,451 ",0.5741%," 5,057,455 "," 1,530,845 ",30.27%,2019
Standard Guar Ins Co - 42986," 87,644 ",0.0081%," 91,690 "," (47,965)",-52.31%,2019
Star Ins Co - 18023," 4,547 ",0.0004%," 4,738 ", 160 ,3.38%,2019
Starnet Ins Co - 40045," 98,761 ",0.0091%," 98,229 "," 22,819 ",23.23%,2019
Starr Ind & Liab Co - 38318," 17,517 ",0.0016%," 11,581 "," 23,305 ",201.23%,2019
State Farm Gen Ins Co - 25151," 17,623,154 ",1.6299%," 11,296,104 "," 19,001,525 ",168.21%,2019
Stillwater Ins Co - 25180," 4,271,554 ",0.3951%," 4,125,867 "," 923,319 ",22.38%,2019
Sutter Ins Co - 32107," 109,246 ",0.0101%," 135,238 "," 16,615 ",12.29%,2019
Technology Ins Co Inc - 42376," 3,008 ",0.0003%," 5,662 ", (722),-12.75%,2019
The Cincinnati Cas Co - 28665, 73 ,0.0000%, 72 , -   ,0.00%,2019
The Cincinnati Ind Co - 23280, 316 ,0.0000%, 221 , -   ,0.00%,2019
The Cincinnati Ins Co - 10677," 114,985 ",0.0106%," 94,126 "," (14,411)",-15.31%,2019
Tokio Marine Amer Ins Co - 10945," 9,372,809 ",0.8669%," 9,428,302 "," 1,227,987 ",13.02%,2019
Topa Ins Co - 18031," 2,577,170 ",0.2384%," 2,643,603 "," 3,955,194 ",149.61%,2019
Transguard Ins Co Of Amer Inc - 28886," 118,624 ",0.0110%," 101,510 "," 57,432 ",56.58%,2019
Transportation Ins Co - 20494," 54,541 ",0.0050%," 30,837 "," 6,616 ",21.45%,2019
Travelers Cas & Surety Co - 19038," 3,958,699 ",0.3661%," 3,239,419 "," 1,020,095 ",31.49%,2019
Travelers Ind Co - 25658, 442 ,0.0000%, 148 , -   ,0.00%,2019
Travelers Ind Co Of CT - 25682," 705,480 ",0.0652%," 633,762 "," 112,427 ",17.74%,2019
Travelers Prop Cas Co Of Amer - 25674," 50,673,423 ",4.6866%," 47,436,768 "," 23,118,926 ",48.74%,2019
Travelers Prop Cas Ins Co - 36161," 16,604,225 ",1.5357%," 15,533,221 "," 14,993,480 ",96.53%,2019
Truck Ins Exch - 21709," 1,618,625 ",0.1497%," 1,024,899 "," 2,760,984 ",269.39%,2019
United Cas Ins Co Of Amer - 11142," 551,109 ",0.0510%," 550,488 "," 87,481 ",15.89%,2019
United Fire & Cas Co - 13021," 2,270,614 ",0.2100%," 2,595,283 "," 1,437,240 ",55.38%,2019
United Serv Automobile Assn - 25941," 14,262,819 ",1.3191%," 13,662,719 "," 8,072,050 ",59.08%,2019
United States Fire Ins Co - 21113," 180,615 ",0.0167%," 150,669 "," 54,632 ",36.26%,2019
United States Liab Ins Co - 25895," 9,320,345 ",0.8620%," 8,605,524 "," 3,344,545 ",38.87%,2019
Universal N Amer Ins Co - 10759," 13,096,905 ",1.2113%," 13,560,917 "," 8,843,163 ",65.21%,2019
Us Underwriters Ins Co - 35416, 590 ,0.0001%, 593 , 7 ,1.18%,2019
USAA Cas Ins Co - 25968," 8,053,347 ",0.7448%," 8,471,433 "," 288,042 ",3.40%,2019
USAA Gen Ind Co - 18600," 2,008,293 ",0.1857%," 1,993,543 "," 222,754 ",11.17%,2019
Utica Mut Ins Co - 25976, 438 ,0.0000%, 600 , 57 ,9.50%,2019
Valley Forge Ins Co - 20508," 18,267 ",0.0017%," 15,836 "," 4,689 ",29.61%,2019
Verlan Fire Ins Co MD - 10815," 4,569,026 ",0.4226%," 4,225,789 "," 324,744 ",7.68%,2019
Vigilant Ins Co - 20397," 91,868 ",0.0085%," 67,715 "," 235,504 ",347.79%,2019
Wawanesa Gen Ins Co - 10683," 443,476 ",0.0410%," 256,217 "," 359,345 ",140.25%,2019
Wesco Ins Co - 25011," 32,917 ",0.0030%," 29,689 "," 3,244,550 ",10928.46%,2019
West Amer Ins Co - 44393," 2,053,024 ",0.1899%," 1,955,063 "," 1,593,627 ",81.51%,2019
Westchester Fire Ins Co - 10030," 6,299,275 ",0.5826%," 6,289,511 "," 2,821,690 ",44.86%,2019
Western Mut Ins Co - 13625," 76,292 ",0.0071%," 77,451 "," 48,324 ",62.39%,2019
Westport Ins Corp - 39845," 7,024,646 ",0.6497%," 6,300,323 "," 8,526,635 ",135.34%,2019
XL Ins Amer Inc - 24554," 18,135,818 ",1.6773%," 16,790,267 "," 1,079,705 ",6.43%,2019
Zenith Ins Co - 13269," 7,783,905 ",0.7199%," 7,300,664 "," 1,133,503 ",15.53%,2019
Zurich Amer Ins Co - 16535," 46,934,090 ",4.3408%," 44,371,574 "," 55,257,652 ",124.53%,2019
Zurich Amer Ins Co Of IL - 27855," 58,097 ",0.0054%," 35,519 "," 4,316 ",12.15%,2019
Acceptance Ind Ins Co - 20010, 323 ,0.0000%, 314 , (35),-11.15%,2018
Ace Amer Ins Co - 22667," 216,771 ",0.0231%," 226,659 "," 13,243 ",5.84%,2018
Aegis Security Ins Co - 33898," 692,210 ",0.0737%," 674,911 "," 247,417 ",36.66%,2018
Affiliated Fm Ins Co - 10014," 32,613,985 ",3.4729%," 32,178,274 "," 62,216,940 ",193.35%,2018
Alaska Natl Ins Co - 38733, 33 ,0.0000%," 1,486 "," (1,098)",-73.89%,2018
Allianz Global Risks US Ins Co - 35300," 27,277,230 ",2.9046%," 23,858,094 "," 8,989,414 ",37.68%,2018
Allied Prop & Cas Ins Co - 42579," 9,643,902 ",1.0269%," 10,112,712 "," 7,806,083 ",77.19%,2018
Allied World Assur Co US Inc - 19489," 288,754 ",0.0307%," 249,270 "," (1,029,225)",-412.90%,2018
Allstate Ins Co - 19232," 6,624 ",0.0007%," 8,159 "," 187,990 ",2304.08%,2018
Amco Ins Co - 19100," 32,741,649 ",3.4864%," 34,533,744 "," 36,197,766 ",104.82%,2018
American Alt Ins Corp - 19720," 326,786 ",0.0348%," 529,853 "," 1,761,671 ",332.48%,2018
American Cas Co Of Reading PA - 20427," 65,986 ",0.0070%," 50,584 "," 63,762 ",126.05%,2018
American Economy Ins Co - 19690," 5,873 ",0.0006%," 9,591 "," 8,945 ",93.26%,2018
American Family Home Ins Co - 23450, 931 ,0.0001%," 16,364 "," 5,174 ",31.62%,2018
American Fire & Cas Co - 24066," 36,235 ",0.0039%," 21,320 ", 164 ,0.77%,2018
American Guar & Liab Ins - 26247," 11,242,310 ",1.1971%," 9,988,668 "," 23,531,440 ",235.58%,2018
American Home Assur Co - 19380," 17,756,224 ",1.8907%," 33,532,645 "," 31,450,860 ",93.79%,2018
American Modern Home Ins Co - 23469," 16,103,341 ",1.7147%," 15,834,695 "," 11,627,192 ",73.43%,2018
American Natl Prop & Cas Co - 28401," 66,524 ",0.0071%," 39,235 "," 40,686 ",103.70%,2018
American Reliable Ins Co - 19615," 1,117,821 ",0.1190%," 1,233,499 "," 18,834,353 ",1526.90%,2018
American Security Ins Co - 42978," 24,542,442 ",2.6134%," 31,300,594 "," 26,965,919 ",86.15%,2018
American Southern Home Ins Co - 41998, 136 ,0.0000%, 62 , 24 ,38.71%,2018
American States Ins Co - 19704," 12,740 ",0.0014%," 17,623 "," 124,681 ",707.49%,2018
American Zurich Ins Co - 40142," 61,429 ",0.0065%," 37,135 "," 2,603 ",7.01%,2018
Amerisure Mut Ins Co - 23396," 6,156 ",0.0007%," 5,866 ", 523 ,8.92%,2018
Amica Mut Ins Co - 19976," 930,153 ",0.0990%," 909,650 "," 906,956 ",99.70%,2018
Arch Ins Co - 11150," 137,608 ",0.0147%," 152,524 "," 2,439,870 ",1599.66%,2018
Armed Forces Ins Exch - 41459," 284,486 ",0.0303%," 289,788 "," (44,545)",-15.37%,2018
ASI Select Ins Corp - 14042," 968,208 ",0.1031%," 693,395 "," 2,675,811 ",385.90%,2018
