Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2017,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1200,100,0.051
2016,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1200,100,0.062
2015,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.067
2014,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.078
2013,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.092
2012,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.106
2011,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.117
2010,Annual,Corralitos CDP,Not Adj,Not Prelim,1200,1100,100,0.120
2019,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5400,200,0.029
2018,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5400,200,0.032
2017,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5400,200,0.037
2016,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5400,200,0.042
2015,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5300,300,0.046
2014,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5300,300,0.055
2013,Annual,Corte Madera town,Not Adj,Not Prelim,5600,5200,400,0.066
2012,Annual,Corte Madera town,Not Adj,Not Prelim,5500,5100,400,0.080
2011,Annual,Corte Madera town,Not Adj,Not Prelim,5500,5000,500,0.092
2010,Annual,Corte Madera town,Not Adj,Not Prelim,5400,4900,500,0.100
2019,Annual,Costa Mesa city,Not Adj,Not Prelim,66200,64500,1700,0.025
2018,Annual,Costa Mesa city,Not Adj,Not Prelim,65900,64100,1800,0.027
2017,Annual,Costa Mesa city,Not Adj,Not Prelim,65500,63400,2100,0.032
2016,Annual,Costa Mesa city,Not Adj,Not Prelim,64800,62500,2300,0.035
2015,Annual,Costa Mesa city,Not Adj,Not Prelim,64900,61900,2900,0.045
2014,Annual,Costa Mesa city,Not Adj,Not Prelim,64500,60900,3600,0.056
2013,Annual,Costa Mesa city,Not Adj,Not Prelim,64700,60400,4300,0.067
2012,Annual,Costa Mesa city,Not Adj,Not Prelim,64900,59700,5200,0.080
2011,Annual,Costa Mesa city,Not Adj,Not Prelim,64500,58600,5900,0.092
2010,Annual,Costa Mesa city,Not Adj,Not Prelim,64300,58000,6300,0.099
2019,Annual,Cotati city,Not Adj,Not Prelim,4300,4200,100,0.028
2018,Annual,Cotati city,Not Adj,Not Prelim,4300,4200,100,0.030
2017,Annual,Cotati city,Not Adj,Not Prelim,4300,4200,200,0.036
2016,Annual,Cotati city,Not Adj,Not Prelim,4300,4100,200,0.042
2015,Annual,Cotati city,Not Adj,Not Prelim,4300,4100,200,0.048
2014,Annual,Cotati city,Not Adj,Not Prelim,4300,4000,300,0.059
2013,Annual,Cotati city,Not Adj,Not Prelim,4200,3900,300,0.075
2012,Annual,Cotati city,Not Adj,Not Prelim,4100,3700,400,0.094
2011,Annual,Cotati city,Not Adj,Not Prelim,4100,3700,400,0.108
2010,Annual,Cotati city,Not Adj,Not Prelim,4100,3600,500,0.115
2019,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7700,7500,200,0.026
2018,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7700,7400,200,0.028
2017,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7600,7400,300,0.033
2016,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7600,7300,300,0.038
2015,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7500,7200,300,0.043
2014,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7400,7000,400,0.052
2013,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7400,6900,500,0.063
2012,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7400,6800,600,0.075
2011,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7300,6700,600,0.086
2010,Annual,Coto de Caza CDP,Not Adj,Not Prelim,7200,6600,700,0.093
2019,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.045
2018,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.048
2017,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.055
2016,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.067
2015,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.074
2014,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,100,0.092
2013,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1300,200,0.114
2012,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1200,200,0.136
2011,Annual,Cottonwood CDP,Not Adj,Not Prelim,1400,1200,200,0.153
2010,Annual,Cottonwood CDP,Not Adj,Not Prelim,1500,1200,200,0.162
2019,Annual,Country Club CDP,Not Adj,Not Prelim,4600,4200,500,0.099
2018,Annual,Country Club CDP,Not Adj,Not Prelim,4600,4100,500,0.103
2017,Annual,Country Club CDP,Not Adj,Not Prelim,4600,4100,500,0.117
2016,Annual,Country Club CDP,Not Adj,Not Prelim,4600,3900,600,0.135
2015,Annual,Country Club CDP,Not Adj,Not Prelim,4500,3900,700,0.147
2014,Annual,Country Club CDP,Not Adj,Not Prelim,4500,3800,800,0.172
2013,Annual,Country Club CDP,Not Adj,Not Prelim,4600,3700,900,0.198
2012,Annual,Country Club CDP,Not Adj,Not Prelim,4700,3600,1100,0.228
2011,Annual,Country Club CDP,Not Adj,Not Prelim,4700,3500,1200,0.254
2010,Annual,Country Club CDP,Not Adj,Not Prelim,4700,3500,1200,0.259
2019,Annual,Covelo CDP,Not Adj,Not Prelim,420,400,20,0.050
2018,Annual,Covelo CDP,Not Adj,Not Prelim,430,410,20,0.049
2017,Annual,Covelo CDP,Not Adj,Not Prelim,430,410,20,0.056
2016,Annual,Covelo CDP,Not Adj,Not Prelim,430,400,30,0.065
2015,Annual,Covelo CDP,Not Adj,Not Prelim,430,400,30,0.071
2014,Annual,Covelo CDP,Not Adj,Not Prelim,440,400,40,0.086
2013,Annual,Covelo CDP,Not Adj,Not Prelim,450,400,50,0.101
2012,Annual,Covelo CDP,Not Adj,Not Prelim,450,400,60,0.122
2011,Annual,Covelo CDP,Not Adj,Not Prelim,450,390,60,0.137
2010,Annual,Covelo CDP,Not Adj,Not Prelim,460,400,60,0.139
2019,Annual,Covina city,Not Adj,Not Prelim,24100,23000,1100,0.047
2018,Annual,Covina city,Not Adj,Not Prelim,24000,22800,1200,0.049
2017,Annual,Covina city,Not Adj,Not Prelim,24100,22800,1200,0.052
2016,Annual,Covina city,Not Adj,Not Prelim,24000,22600,1400,0.057
2015,Annual,Covina city,Not Adj,Not Prelim,24100,22200,1900,0.079
2014,Annual,Covina city,Not Adj,Not Prelim,24300,21900,2400,0.098
2013,Annual,Covina city,Not Adj,Not Prelim,24300,21500,2800,0.115
2012,Annual,Covina city,Not Adj,Not Prelim,24200,21000,3100,0.129
2011,Annual,Covina city,Not Adj,Not Prelim,24300,20800,3500,0.143
2010,Annual,Covina city,Not Adj,Not Prelim,24300,20700,3600,0.147
2019,Annual,Crescent City city,Not Adj,Not Prelim,1470,1400,70,0.047
2018,Annual,Crescent City city,Not Adj,Not Prelim,1470,1400,70,0.047
2017,Annual,Crescent City city,Not Adj,Not Prelim,1470,1390,80,0.053
2016,Annual,Crescent City city,Not Adj,Not Prelim,1470,1380,90,0.062
2015,Annual,Crescent City city,Not Adj,Not Prelim,1490,1380,110,0.071
2014,Annual,Crescent City city,Not Adj,Not Prelim,1490,1370,120,0.083
2013,Annual,Crescent City city,Not Adj,Not Prelim,1550,1400,150,0.098
2012,Annual,Crescent City city,Not Adj,Not Prelim,1570,1390,180,0.113
2011,Annual,Crescent City city,Not Adj,Not Prelim,1630,1450,180,0.111
2010,Annual,Crescent City city,Not Adj,Not Prelim,1630,1450,180,0.110
2019,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2018,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2017,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2016,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2015,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2014,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2013,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2012,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2011,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2010,Annual,Crescent Mills CDP,Not Adj,Not Prelim,120,120,0,0.000
2019,Annual,Crestline CDP,Not Adj,Not Prelim,4400,4300,100,0.024
2018,Annual,Crestline CDP,Not Adj,Not Prelim,4400,4300,100,0.026
2017,Annual,Crestline CDP,Not Adj,Not Prelim,4300,4200,100,0.031
2016,Annual,Crestline CDP,Not Adj,Not Prelim,4200,4100,200,0.036
2015,Annual,Crestline CDP,Not Adj,Not Prelim,4200,4000,200,0.040
2014,Annual,Crestline CDP,Not Adj,Not Prelim,4100,3900,200,0.050
2013,Annual,Crestline CDP,Not Adj,Not Prelim,4000,3800,200,0.062
2012,Annual,Crestline CDP,Not Adj,Not Prelim,4000,3700,300,0.073
2011,Annual,Crestline CDP,Not Adj,Not Prelim,3900,3600,300,0.082
2010,Annual,Crestline CDP,Not Adj,Not Prelim,3900,3600,300,0.087
2019,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.108
2018,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.108
2017,Annual,C Road CDP,Not Adj,Not Prelim,60,60,10,0.125
2016,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.138
2015,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.138
2014,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.162
2013,Annual,C Road CDP,Not Adj,Not Prelim,70,60,10,0.186
2012,Annual,C Road CDP,Not Adj,Not Prelim,70,60,20,0.219
2011,Annual,C Road CDP,Not Adj,Not Prelim,80,60,20,0.237
2010,Annual,C Road CDP,Not Adj,Not Prelim,80,60,20,0.241
2019,Annual,Crockett CDP,Not Adj,Not Prelim,1700,1600,100,0.045
2018,Annual,Crockett CDP,Not Adj,Not Prelim,1700,1600,100,0.047
2017,Annual,Crockett CDP,Not Adj,Not Prelim,1700,1600,100,0.056
2016,Annual,Crockett CDP,Not Adj,Not Prelim,1700,1600,100,0.064
2015,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1500,100,0.072
2014,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1500,100,0.088
2013,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1500,200,0.107
2012,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1400,200,0.126
2011,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1400,200,0.144
2010,Annual,Crockett CDP,Not Adj,Not Prelim,1600,1400,300,0.154
2019,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2018,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2017,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2016,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2015,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2014,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2013,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2012,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2011,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2010,Annual,Cromberg CDP,Not Adj,Not Prelim,90,90,0,0.000
2019,Annual,Cudahy city,Not Adj,Not Prelim,10100,9700,400,0.044
2018,Annual,Cudahy city,Not Adj,Not Prelim,10100,9600,500,0.047
2017,Annual,Cudahy city,Not Adj,Not Prelim,10100,9600,500,0.049
2016,Annual,Cudahy city,Not Adj,Not Prelim,10000,9500,500,0.053
2015,Annual,Cudahy city,Not Adj,Not Prelim,10200,9300,800,0.083
2014,Annual,Cudahy city,Not Adj,Not Prelim,10300,9200,1100,0.103
2013,Annual,Cudahy city,Not Adj,Not Prelim,10300,9000,1300,0.122
2012,Annual,Cudahy city,Not Adj,Not Prelim,10300,8900,1400,0.136
2011,Annual,Cudahy city,Not Adj,Not Prelim,10300,8800,1600,0.151
2010,Annual,Cudahy city,Not Adj,Not Prelim,10300,8700,1600,0.155
2019,Annual,Culver City city,Not Adj,Not Prelim,23100,22200,1000,0.041
2018,Annual,Culver City city,Not Adj,Not Prelim,23000,22000,1000,0.043
2017,Annual,Culver City city,Not Adj,Not Prelim,22900,21800,1000,0.045
2016,Annual,Culver City city,Not Adj,Not Prelim,22700,21600,1100,0.050
2015,Annual,Culver City city,Not Adj,Not Prelim,22300,21200,1100,0.049
2014,Annual,Culver City city,Not Adj,Not Prelim,22300,21000,1400,0.061
2013,Annual,Culver City city,Not Adj,Not Prelim,22200,20600,1600,0.072
2012,Annual,Culver City city,Not Adj,Not Prelim,22000,20200,1800,0.081
2011,Annual,Culver City city,Not Adj,Not Prelim,22000,20000,2000,0.091
2010,Annual,Culver City city,Not Adj,Not Prelim,21900,19900,2000,0.093
2019,Annual,Cupertino city,Not Adj,Not Prelim,29800,29100,700,0.024
2018,Annual,Cupertino city,Not Adj,Not Prelim,29500,28700,800,0.027
2017,Annual,Cupertino city,Not Adj,Not Prelim,29700,28700,1000,0.032
2016,Annual,Cupertino city,Not Adj,Not Prelim,29600,28500,1100,0.037
2015,Annual,Cupertino city,Not Adj,Not Prelim,28900,27900,1000,0.033
2014,Annual,Cupertino city,Not Adj,Not Prelim,28600,27400,1200,0.042
2013,Annual,Cupertino city,Not Adj,Not Prelim,28300,26800,1500,0.052
2012,Annual,Cupertino city,Not Adj,Not Prelim,28000,26200,1800,0.064
2011,Annual,Cupertino city,Not Adj,Not Prelim,27500,25400,2100,0.076
2010,Annual,Cupertino city,Not Adj,Not Prelim,27200,24900,2300,0.085
2019,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2200,300,0.103
2018,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2200,300,0.105
2017,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2200,300,0.111
2016,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2200,300,0.119
2015,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2200,300,0.124
2014,Annual,Cutler CDP,Not Adj,Not Prelim,2400,2100,300,0.140
2013,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2100,400,0.153
2012,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2000,400,0.171
2011,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2000,500,0.181
2010,Annual,Cutler CDP,Not Adj,Not Prelim,2500,2000,500,0.182
2019,Annual,Cypress city,Not Adj,Not Prelim,25200,24400,700,0.029
2018,Annual,Cypress city,Not Adj,Not Prelim,25100,24300,800,0.032
2017,Annual,Cypress city,Not Adj,Not Prelim,24900,24000,900,0.035
2016,Annual,Cypress city,Not Adj,Not Prelim,24800,23800,1000,0.041
2015,Annual,Cypress city,Not Adj,Not Prelim,24400,23700,700,0.030
2014,Annual,Cypress city,Not Adj,Not Prelim,24300,23400,900,0.037
2013,Annual,Cypress city,Not Adj,Not Prelim,24300,23200,1100,0.045
2012,Annual,Cypress city,Not Adj,Not Prelim,24200,22900,1300,0.054
2011,Annual,Cypress city,Not Adj,Not Prelim,24000,22500,1500,0.063
2010,Annual,Cypress city,Not Adj,Not Prelim,23800,22200,1600,0.067
2019,Annual,Daly City city,Not Adj,Not Prelim,65700,64300,1400,0.021
2018,Annual,Daly City city,Not Adj,Not Prelim,64200,62700,1500,0.023
2017,Annual,Daly City city,Not Adj,Not Prelim,63500,61700,1700,0.027
2016,Annual,Daly City city,Not Adj,Not Prelim,63100,61200,2000,0.031
2015,Annual,Daly City city,Not Adj,Not Prelim,62600,59900,2600,0.042
2014,Annual,Daly City city,Not Adj,Not Prelim,61900,58700,3200,0.052
2013,Annual,Daly City city,Not Adj,Not Prelim,60900,57000,3900,0.064
2012,Annual,Daly City city,Not Adj,Not Prelim,60300,55600,4700,0.078
2011,Annual,Daly City city,Not Adj,Not Prelim,58700,53400,5400,0.091
2010,Annual,Daly City city,Not Adj,Not Prelim,57900,52000,5900,0.101
2019,Annual,Dana Point city,Not Adj,Not Prelim,18800,18300,500,0.026
2018,Annual,Dana Point city,Not Adj,Not Prelim,18800,18200,500,0.028
2017,Annual,Dana Point city,Not Adj,Not Prelim,18700,18100,600,0.033
2016,Annual,Dana Point city,Not Adj,Not Prelim,18700,18000,700,0.038
2015,Annual,Dana Point city,Not Adj,Not Prelim,18700,17900,800,0.042
2014,Annual,Dana Point city,Not Adj,Not Prelim,18600,17700,1000,0.051
2013,Annual,Dana Point city,Not Adj,Not Prelim,18700,17600,1200,0.062
2012,Annual,Dana Point city,Not Adj,Not Prelim,18700,17400,1400,0.074
2011,Annual,Dana Point city,Not Adj,Not Prelim,18600,17000,1600,0.085
2010,Annual,Dana Point city,Not Adj,Not Prelim,18500,16800,1700,0.092
2019,Annual,Danville town,Not Adj,Not Prelim,20800,20200,600,0.027
2018,Annual,Danville town,Not Adj,Not Prelim,20800,20200,600,0.028
2017,Annual,Danville town,Not Adj,Not Prelim,20800,20100,700,0.034
2016,Annual,Danville town,Not Adj,Not Prelim,20700,19900,800,0.040
2015,Annual,Danville town,Not Adj,Not Prelim,20300,19500,800,0.040
2014,Annual,Danville town,Not Adj,Not Prelim,20100,19100,1000,0.049
2013,Annual,Danville town,Not Adj,Not Prelim,20100,18900,1200,0.060
2012,Annual,Danville town,Not Adj,Not Prelim,20000,18500,1400,0.072
2011,Annual,Danville town,Not Adj,Not Prelim,19700,18100,1600,0.083
2010,Annual,Danville town,Not Adj,Not Prelim,19600,17900,1700,0.088
2019,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2018,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2017,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2016,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2015,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2014,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2013,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2012,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2011,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2010,Annual,Darwin CDP,Not Adj,Not Prelim,10,10,0,0.000
2019,Annual,Davis city,Not Adj,Not Prelim,35700,34800,900,0.026
2018,Annual,Davis city,Not Adj,Not Prelim,35400,34400,1000,0.027
2017,Annual,Davis city,Not Adj,Not Prelim,35100,33900,1200,0.034
2016,Annual,Davis city,Not Adj,Not Prelim,34800,33500,1300,0.038
2015,Annual,Davis city,Not Adj,Not Prelim,34600,32900,1700,0.050
2014,Annual,Davis city,Not Adj,Not Prelim,34300,32300,2000,0.058
2013,Annual,Davis city,Not Adj,Not Prelim,34200,31900,2400,0.070
2012,Annual,Davis city,Not Adj,Not Prelim,34300,31400,2800,0.083
2011,Annual,Davis city,Not Adj,Not Prelim,34100,31000,3100,0.092
2010,Annual,Davis city,Not Adj,Not Prelim,34400,31100,3200,0.094
2019,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.045
2018,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.047
2017,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.054
2016,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.066
2015,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.071
2014,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1500,100,0.083
2013,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1400,200,0.098
2012,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1400,200,0.113
2011,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1400,200,0.124
2010,Annual,Day Valley CDP,Not Adj,Not Prelim,1600,1400,200,0.127
2019,Annual,Deer Park CDP,Not Adj,Not Prelim,400,400,0,0.046
2018,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.049
2017,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.060
2016,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.071
2015,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.076
2014,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.094
2013,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,0,0.113
2012,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,100,0.135
2011,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,100,0.155
2010,Annual,Deer Park CDP,Not Adj,Not Prelim,400,300,100,0.163
2019,Annual,Del Aire CDP,Not Adj,Not Prelim,5500,5300,200,0.036
2018,Annual,Del Aire CDP,Not Adj,Not Prelim,5500,5300,200,0.037
2017,Annual,Del Aire CDP,Not Adj,Not Prelim,5500,5200,200,0.038
2016,Annual,Del Aire CDP,Not Adj,Not Prelim,5400,5200,200,0.042
2015,Annual,Del Aire CDP,Not Adj,Not Prelim,5300,5000,300,0.054
2014,Annual,Del Aire CDP,Not Adj,Not Prelim,5300,5000,400,0.067
2013,Annual,Del Aire CDP,Not Adj,Not Prelim,5300,4900,400,0.079
2012,Annual,Del Aire CDP,Not Adj,Not Prelim,5200,4700,500,0.089
2011,Annual,Del Aire CDP,Not Adj,Not Prelim,5200,4700,500,0.100
2010,Annual,Del Aire CDP,Not Adj,Not Prelim,5200,4700,500,0.102
2019,Annual,Delano city,Not Adj,Not Prelim,22200,17100,5100,0.229
2018,Annual,Delano city,Not Adj,Not Prelim,21800,16800,5000,0.230
2017,Annual,Delano city,Not Adj,Not Prelim,22200,16600,5600,0.251
2016,Annual,Delano city,Not Adj,Not Prelim,22100,16600,5600,0.251
2015,Annual,Delano city,Not Adj,Not Prelim,19100,16800,2300,0.122
2014,Annual,Delano city,Not Adj,Not Prelim,19400,17000,2400,0.124
2013,Annual,Delano city,Not Adj,Not Prelim,19600,16900,2700,0.140
2012,Annual,Delano city,Not Adj,Not Prelim,19800,16700,3100,0.156
2011,Annual,Delano city,Not Adj,Not Prelim,20000,16500,3500,0.176
2010,Annual,Delano city,Not Adj,Not Prelim,19400,15800,3600,0.185
2019,Annual,Delhi CDP,Not Adj,Not Prelim,5300,4900,400,0.076
2018,Annual,Delhi CDP,Not Adj,Not Prelim,5300,4900,400,0.080
2017,Annual,Delhi CDP,Not Adj,Not Prelim,5300,4800,500,0.089
2016,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4700,500,0.100
2015,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4700,600,0.108
2014,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4600,600,0.122
2013,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4500,700,0.138
2012,Annual,Delhi CDP,Not Adj,Not Prelim,5300,4400,800,0.155
2011,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4400,900,0.168
2010,Annual,Delhi CDP,Not Adj,Not Prelim,5200,4300,900,0.171
2019,Annual,Delleker CDP,Not Adj,Not Prelim,170,170,0,0.000
2018,Annual,Delleker CDP,Not Adj,Not Prelim,170,170,0,0.000
2017,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2016,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2015,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2014,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2013,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2012,Annual,Delleker CDP,Not Adj,Not Prelim,160,160,0,0.000
2011,Annual,Delleker CDP,Not Adj,Not Prelim,170,170,0,0.000
2010,Annual,Delleker CDP,Not Adj,Not Prelim,170,170,0,0.000
2019,Annual,Del Mar city,Not Adj,Not Prelim,2300,2300,100,0.023
2018,Annual,Del Mar city,Not Adj,Not Prelim,2300,2200,100,0.024
2017,Annual,Del Mar city,Not Adj,Not Prelim,2300,2200,100,0.029
2016,Annual,Del Mar city,Not Adj,Not Prelim,2300,2200,100,0.034
2015,Annual,Del Mar city,Not Adj,Not Prelim,2200,2100,100,0.038
2014,Annual,Del Mar city,Not Adj,Not Prelim,2200,2100,100,0.047
2013,Annual,Del Mar city,Not Adj,Not Prelim,2200,2100,100,0.057
2012,Annual,Del Mar city,Not Adj,Not Prelim,2200,2000,100,0.067
2011,Annual,Del Mar city,Not Adj,Not Prelim,2200,2000,200,0.076
2010,Annual,Del Mar city,Not Adj,Not Prelim,2100,2000,200,0.080
2019,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1600,100,0.072
2018,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1600,100,0.074
2017,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1500,100,0.083
2016,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1500,100,0.088
2015,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1500,200,0.093
2014,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1500,200,0.104
2013,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1500,200,0.118
2012,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1400,200,0.132
2011,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1400,200,0.145
2010,Annual,Del Monte Forest CDP,Not Adj,Not Prelim,1700,1400,200,0.145
2019,Annual,Del Rey CDP,Not Adj,Not Prelim,600,600,100,0.092
2018,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.096
2017,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.108
2016,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.121
2015,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.129
2014,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.146
2013,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.167
2012,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.189
2011,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.205
2010,Annual,Del Rey CDP,Not Adj,Not Prelim,600,500,100,0.207
2019,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.068
2018,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.070
2017,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.078
2016,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.083
2015,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.088
2014,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,900,100,0.098
2013,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,800,100,0.111
2012,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,800,100,0.125
2011,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,800,100,0.137
2010,Annual,Del Rey Oaks city,Not Adj,Not Prelim,1000,800,100,0.138
2019,Annual,Denair CDP,Not Adj,Not Prelim,2400,2300,100,0.056
2018,Annual,Denair CDP,Not Adj,Not Prelim,2400,2300,100,0.060
2017,Annual,Denair CDP,Not Adj,Not Prelim,2400,2300,200,0.069
2016,Annual,Denair CDP,Not Adj,Not Prelim,2400,2200,200,0.080
