company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
American Security Ins Co - 42978,"28,363,907",2.62%,"27,499,878","8,304,828",30.20%,2019
American Southern Home Ins Co - 41998,237,0.00%,183,"1,765",964.48%,2019
American States Ins Co - 19704,"11,344",0.00%,"10,100","67,543",668.74%,2019
American Zurich Ins Co - 40142,"103,777",0.01%,"81,517","3,261",4.00%,2019
Amerisure Mut Ins Co - 23396,"6,739",0.00%,"7,213",-182,-2.52%,2019
Amguard Ins Co - 42390,"62,909",0.01%,"7,309",190,2.60%,2019
Amica Mut Ins Co - 19976,"1,104,785",0.10%,"964,603","857,434",88.89%,2019
Arch Ins Co - 11150,"97,934",0.01%,"103,283","-115,834",-112.15%,2019
Armed Forces Ins Exch - 41459,"301,169",0.03%,"301,498","17,557",5.82%,2019
ASI Select Ins Corp - 14042,"1,133,762",0.10%,"1,078,565","473,349",43.89%,2019
Aspen Amer Ins Co - 43460,"1,437,926",0.13%,"1,632,798","993,950",60.87%,2019
Atlantic Specialty Ins Co - 27154,"566,000",0.05%,"494,316","18,950",3.83%,2019
AXA Ins Co - 33022,"3,220,352",0.30%,"3,076,949","100,174",3.26%,2019
Axis Ins Co - 37273,"535,914",0.05%,"609,239","385,296",63.24%,2019
AXIS Reins Co - 20370,"4,454",0.00%,"5,888",77,1.31%,2019
Berkley Natl Ins Co - 38911,"36,431",0.00%,"44,000","28,522",64.82%,2019
Berkley Regional Ins Co - 29580,"221,750",0.02%,"197,814","-18,958",-9.58%,2019
Berkshire Hathaway Specialty Ins Co - 22276,"8,083",0.00%,"4,455",528,11.85%,2019
BITCO Gen Ins Corp - 20095,"3,993",0.00%,"2,565","11,193",436.37%,2019
BITCO Natl Ins Co - 20109,"7,344",0.00%,"4,915",111,2.26%,2019
California Automobile Ins Co - 38342,"3,687,203",0.34%,"649,444","176,782",27.22%,2019
California Capital Ins Co - 13544,"16,111,724",1.49%,"15,804,519","3,308,858",20.94%,2019
California Cas Ind Exch - 20117,"398,547",0.04%,"240,640","356,377",148.10%,2019
California Mut Ins Co - 27480,"174,047",0.02%,"164,748","1,000",0.61%,2019
Capitol Ind Corp - 10472,"9,996",0.00%,"9,771",621,6.36%,2019
Catlin Ins Co - 19518,"9,828,587",0.91%,"4,897,167","4,346,618",88.76%,2019
Century Natl Ins Co - 26905,"4,108,570",0.38%,"4,607,481","496,539",10.78%,2019
Church Mut Ins Co S I  - 18767,"287,870",0.03%,"180,899","224,983",124.37%,2019
Citizens Ins Co Of Amer - 31534,"504,257",0.05%,"387,872","846,853",218.33%,2019
Civic Prop & Cas Co  - 10315,"2,693,993",0.25%,"2,582,602","399,394",15.46%,2019
Civil Serv Employees Ins Co - 10693,"3,421,401",0.32%,"3,839,218","1,624,003",42.30%,2019
Clear Blue Ins Co - 28860,"2,998,380",0.28%,"1,163,053","765,200",65.79%,2019
Coastal Select Ins Co - 10887,"139,818",0.01%,"91,259","-4,059",-4.45%,2019
Constitution Ins Co - 32190,"527,035",0.05%,"316,006","243,441",77.04%,2019
Continental Cas Co - 20443,"12,020,751",1.11%,"10,134,016","-842,470",-8.31%,2019
Continental Ins Co - 35289,"585,254",0.05%,"275,749","-445,604",-161.60%,2019
Crestbrook Ins Co - 18961,"255,663",0.02%,"176,279","375,093",212.78%,2019
Crusader Ins Co - 14010,"136,654",0.01%,"109,389","2,310",2.11%,2019
CSAA Fire & Cas Ins Co - 10921,"63,087,834",5.83%,"59,294,160","12,141,362",20.48%,2019
CSAA Ins Exch - 15539,"5,176,072",0.48%,"3,144,187","4,679,990",148.85%,2019
CSE Safeguard Ins Co - 18953,"36,304,519",3.36%,"35,926,555","24,781,303",68.98%,2019
Depositors Ins Co - 42587,"33,708",0.00%,"19,010","35,133",184.81%,2019
Diamond State Ins Co - 42048,"21,456",0.00%,"21,631",-285,-1.32%,2019
Dorinco Reins Co - 33499,"168,544",0.02%,"174,666", -   ,0.00%,2019
Eagle W Ins Co - 12890,"583,046",0.05%,"616,017","88,275",14.33%,2019
Electric Ins Co - 21261,"21,216",0.00%,"22,045", -   ,0.00%,2019
Empire Fire & Marine Ins Co - 21326,"8,598",0.00%,"10,077",-36,-0.36%,2019
Employers Ins Co of Wausau - 21458,"7,944,062",0.73%,"6,257,848","7,159,274",114.40%,2019
Employers Mut Cas Co - 21415,"1,619,693",0.15%,"1,470,946","2,953,494",200.79%,2019
Encompass Ins Co - 10358,"5,053,113",0.47%,"5,117,414","2,312,445",45.19%,2019
Everest Natl Ins Co  - 10120,"18,408",0.00%,"24,168","7,872",32.57%,2019
Exact Prop & Cas Co Inc - 10318,"1,742,171",0.16%,"1,732,718","692,653",39.97%,2019
Factory Mut Ins Co - 21482,"28,451,305",2.63%,"24,884,738","-158,462,041",-636.78%,2019
Falls Lake Fire & Cas Co - 15884,"22,421",0.00%,"5,477",886,16.18%,2019
Farmers Ins Exch - 21652,"9,363,426",0.87%,"9,447,405","5,657,338",59.88%,2019
Federal Ins Co - 20281,"2,365,538",0.22%,"1,694,501","6,000,381",354.11%,2019
Federated Mut Ins Co - 13935,"4,276,340",0.40%,"4,029,865","490,430",12.17%,2019
Federated Rural Electric Ins Exch - 11118,"47,751",0.00%,"46,288",25,0.05%,2019
Federated Serv Ins Co - 28304,"699,182",0.06%,"728,183","481,947",66.18%,2019
Fidelity & Deposit Co Of MD  - 39306,"2,246,176",0.21%,"5,149,095","-3,234,342",-62.81%,2019
Financial Pacific Ins Co - 31453,"867,595",0.08%,"947,172","-373,804",-39.47%,2019
Fire Ins Exch - 21660,"64,709,209",5.98%,"58,095,792","56,155,468",96.66%,2019
Firemans Fund Ins Co - 21873,"3,774,128",0.35%,"2,120,335","855,291",40.34%,2019
First Amer Prop & Cas Ins Co - 37710,"111,321",0.01%,"111,321","59,548",53.49%,2019
First Amer Specilaty Ins Co - 34525,"25,339,477",2.34%,"25,176,470","12,648,831",50.24%,2019
First Natl Ins Co Of Amer - 24724,"11,733",0.00%,"13,271",704,5.30%,2019
Florists Mut Ins Co - 13978,"1,545,699",0.14%,"1,299,897","348,137",26.78%,2019
Foremost Ins Co Grand Rapids MI - 11185,"41,554,334",3.84%,"37,677,704","3,102,678",8.23%,2019
Freedom Specialty Ins Co - 22209,"3,586",0.00%,"3,044","5,343",175.53%,2019
Garrison Prop & Cas Ins Co - 21253,"2,048,799",0.19%,"2,061,605","663,753",32.20%,2019
General Cas Co Of WI - 24414,"212,200",0.02%,"196,137","114,580",58.42%,2019
General Ins Co Of Amer - 24732,"6,693",0.00%,"11,981","35,621",297.31%,2019
Geovera Ins Co - 10799,"1,081,151",0.10%,"691,983","-20,145",-2.91%,2019
Geovera Specialty Ins Co - 10182,105,0.00%,101,-26,-25.74%,2019
Golden Bear Ins Co - 39861,"3,147,565",0.29%,"2,493,629","1,939,628",77.78%,2019
Golden Eagle Ins Corp - 10836,81,0.00%,81,"102,899",127035.80%,2019
Grange Ins Assn - 22101,"644,925",0.06%,"605,555","175,805",29.03%,2019
Granite State Ins Co - 23809,"357,769",0.03%,"572,706","14,054",2.45%,2019
Graphic Arts Mut Ins Co - 25984,4,0.00%,113, -   ,0.00%,2019
Great Amer Alliance Ins Co - 26832,"67,528",0.01%,"27,830","2,511",9.02%,2019
Great Amer Assur Co - 26344,"68,510",0.01%,"68,635","-13,775",-20.07%,2019
Great Amer Ins Co - 16691,"1,651,923",0.15%,"1,150,625","-39,387",-3.42%,2019
Great Amer Ins Co of NY - 22136,"88,935",0.01%,"400,326","-753,523",-188.23%,2019
Great Divide Ins Co - 25224,"2,985",0.00%,"2,694",-24,-0.89%,2019
Great Midwest Ins Co - 18694,"1,558",0.00%,"1,315","1,032",78.48%,2019
Great Northern Ins Co - 20303,"112,083",0.01%,"89,890","163,283",181.65%,2019
Greenwich Ins Co - 22322,"1,457,391",0.13%,"1,219,069","244,148",20.03%,2019
Guideone Mut Ins Co - 15032,"79,899",0.01%,"59,997",976,1.63%,2019
Guideone Specialty Mut Ins Co - 14559,"221,328",0.02%,"231,862","-372,729",-160.75%,2019
Hanover Amer Ins Co - 36064,"350,543",0.03%,"242,689","88,044",36.28%,2019
Hanover Ins Co - 22292,"643,067",0.06%,"499,656","238,178",47.67%,2019
Harco Natl Ins Co - 26433,"5,517,930",0.51%,"4,537,828","3,172,025",69.90%,2019
Harleysville Ins Co - 23582,"4,606",0.00%,"3,183","6,754",212.19%,2019
Hartford Cas Ins Co - 29424,"80,691",0.01%,"88,326",-121,-0.14%,2019
Hartford Fire Ins Co - 19682,"11,453,312",1.06%,"7,544,877","5,997,087",79.49%,2019
Hartford Underwriters Ins Co - 30104,"1,018,196",0.09%,"1,086,235","528,216",48.63%,2019
HDI Global Ins Co - 41343,"10,062,093",0.93%,"7,554,356","23,158,168",306.55%,2019
Hiscox Ins Co Inc - 10200,"1,504,453",0.14%,"1,316,943","74,836",5.68%,2019
Horace Mann Ins Co - 22578,"537,420",0.05%,"559,345","1,238,095",221.35%,2019
Horace Mann Prop & Cas Ins Co - 22756,"113,673",0.01%,"120,020","90,500",75.40%,2019
Hudson Ins Co - 25054,"31,360",0.00%,"31,086","2,180",7.01%,2019
Hyundai Marine & Fire Ins Co Ltd - 10048,"211,229",0.02%,"227,012","18,349",8.08%,2019
Imperium Ins Co - 35408,"3,019",0.00%,"2,916", -   ,0.00%,2019
Indemnity Ins Co Of North Amer - 43575,"29,341",0.00%,"30,126","-6,146",-20.40%,2019
Insurance Co of N Amer - 22713,"2,306,256",0.21%,"1,806,040","6,242,005",345.62%,2019
Insurance Co Of The State Of PA - 19429,"10,474,939",0.97%,"12,351,984","1,109,356",8.98%,2019
Integon Natl Ins Co - 29742,"2,576,588",0.24%,"2,430,999","878,373",36.13%,2019
Interins Exch Of The Automobile Club - 15598,"21,377,962",1.98%,"20,964,649","7,638,265",36.43%,2019
Kemper Independence Ins Co - 10914,"4,358,335",0.40%,"4,394,091","3,189,194",72.58%,2019
Kookmin Best Ins Co Ltd - 37800,"174,088",0.02%,"102,886","168,228",163.51%,2019
Liberty Mut Fire Ins Co - 23035,"19,592,966",1.81%,"19,984,695","-3,263,841",-16.33%,2019
Liberty Mut Ins Co - 23043,"5,450,668",0.50%,"3,471,371","-40,796,702",-1175.23%,2019
Manufacturers Alliance Ins Co - 36897,528,0.00%,"1,606",434,27.02%,2019
Mapfre Ins Co - 23876,"146,281",0.01%,"152,196","-50,374",-33.10%,2019
Markel Amer Ins Co - 28932,"84,170",0.01%,"65,183","92,317",141.63%,2019
Markel Ins Co - 38970,"14,364",0.00%,"14,854",-657,-4.42%,2019
Massachusetts Bay Ins Co - 22306,"823,516",0.08%,"682,624","323,436",47.38%,2019
Mercury Cas Co - 11908,"16,377,027",1.51%,"16,135,677","11,041,072",68.43%,2019
Metropolitan Drt Prop & Cas Ins Co - 25321,"354,714",0.03%,"205,396","228,543",111.27%,2019
Mid Century Ins Co - 21687,"3,368",0.00%,"3,271",-24,-0.73%,2019
Middlesex Ins Co - 23434,"617,259",0.06%,"414,386","181,744",43.86%,2019
Mitsui Sumitomo Ins Co of Amer - 20362,"857,735",0.08%,"620,066","254,296",41.01%,2019
Mitsui Sumitomo Ins USA Inc - 22551,"81,819",0.01%,"71,248","74,243",104.20%,2019
Monterey Ins Co - 23540,"92,187",0.01%,"57,038","86,371",151.43%,2019
National Amer Ins Co - 23663,"1,258",0.00%,488,72,14.75%,2019
National Cas Co - 11991,257,0.00%,176,397,225.57%,2019
National Fire Ins Co Of Hartford - 20478,"33,097",0.00%,"27,135","227,258",837.51%,2019
National Interstate Ins Co - 32620,"7,770",0.00%,"7,435","1,322",17.78%,2019
National Union Fire Ins Co Of Pitts - 19445,"6,307,200",0.58%,"5,981,869","182,302",3.05%,2019
Nationwide Agribusiness Ins Co - 28223,"1,624,769",0.15%,"1,650,338","990,896",60.04%,2019
Nationwide Ins Co Of Amer - 25453,"3,604,050",0.33%,"3,552,159","3,697,700",104.10%,2019
Nationwide Mut Fire Ins Co - 23779,"235,503",0.02%,"229,133","125,352",54.71%,2019
Nationwide Mut Ins Co - 23787,"6,622,373",0.61%,"6,471,543","2,554,484",39.47%,2019
Neighborhood Spirit Prop & Cas Co - 10317,"8,644,681",0.80%,"8,600,835","2,203,494",25.62%,2019
Netherlands Ins Co The - 24171,210,0.00%,"2,017","-4,181,361",-207305.95%,2019
New Hampshire Ins Co - 23841,"35,876",0.00%,"58,019",-253,-0.44%,2019
North Amer Elite Ins Co - 29700,"3,735,520",0.35%,"3,604,375","238,452",6.62%,2019
North Amer Specialty Ins Co - 29874,"52,660",0.00%,"50,898","4,927",9.68%,2019
North River Ins Co - 21105,"453,807",0.04%,"116,990","208,338",178.08%,2019
Nova Cas Co - 42552,"144,830",0.01%,"84,051","446,953",531.76%,2019
Ohio Cas Ins Co - 24074,"650,470",0.06%,"668,417","5,779",0.86%,2019
Ohio Security Ins Co - 24082,"2,620,609",0.24%,"2,483,776","1,579,830",63.61%,2019
Oregon Mut Ins Co - 14907,"1,107,235",0.10%,"1,097,154","958,516",87.36%,2019
Pacific Employers Ins Co - 22748,"3,482,471",0.32%,"3,138,930","3,400,808",108.34%,2019
Pacific Ind Co - 20346,"12,390",0.00%,"8,408","28,389",337.64%,2019
Pacific Prop & Cas Co - 11048,"401,267",0.04%,"289,993","1,152,642",397.47%,2019
Peerless Ins Co - 24198,"4,068,326",0.38%,"4,161,068","2,852,388",68.55%,2019
Penn Amer Ins Co - 32859,"7,028",0.00%,"6,551",-239,-3.65%,2019
Pennsylvania Lumbermens Mut Ins - 14974,"2,918,649",0.27%,"2,999,573","1,868,101",62.28%,2019
Pennsylvania Manufacturers Assoc Ins - 12262,"54,064",0.01%,"49,934","15,400",30.84%,2019
Philadelphia Ind Ins Co - 18058,"8,722",0.00%,"9,831",13,0.13%,2019
QBE Ins Corp - 39217,"814,458",0.08%,"1,173,391","-850,149",-72.45%,2019
Regent Ins Co - 24449,"38,113",0.00%,"28,957","21,339",73.69%,2019
Residence Mut Ins Co - 15776,"2,113,137",0.20%,"2,206,133","1,049,711",47.58%,2019
Riverport Ins Co - 36684,"5,098",0.00%,"4,988","-13,014",-260.91%,2019
RSUI Ind Co - 22314,"1,401,406",0.13%,"1,321,245","986,377",74.66%,2019
Safeco Ins Co Of Amer - 24740,"60,391,553",5.59%,"57,577,406","21,392,306",37.15%,2019
Scottsdale Ind Co - 15580,"189,803",0.02%,"182,483","50,570",27.71%,2019
Security Natl Ins Co - 19879,"61,182",0.01%,"123,109","405,286",329.21%,2019
Seneca Ins Co Inc - 10936,"1,567,296",0.15%,"1,366,445","119,578",8.75%,2019
Sentry Ins A Mut Co - 24988,"1,394,420",0.13%,"1,490,394","-477,796",-32.06%,2019
Sentry Select Ins Co - 21180,"444,171",0.04%,"501,317","-2,293,620",-457.52%,2019
Sequoia Ins Co - 22985,"961,637",0.09%,"614,212","-53,640",-8.73%,2019
Sirius Amer Ins Co - 38776,"39,507",0.00%,"39,507","23,453",59.36%,2019
Sompo Amer Ins Co - 11126,"733,169",0.07%,"727,188","-756,957",-104.09%,2019
St Paul Fire & Marine Ins Co - 24767,"163,784",0.02%,"203,717","210,867",103.51%,2019
St Paul Guardian Ins Co - 24775,230,0.00%,217,928,427.65%,2019
Standard Fire Ins Co - 19070,"6,207,451",0.57%,"5,057,455","1,530,845",30.27%,2019
Standard Guar Ins Co - 42986,"87,644",0.01%,"91,690","-47,965",-52.31%,2019
Star Ins Co - 18023,"4,547",0.00%,"4,738",160,3.38%,2019
Starnet Ins Co - 40045,"98,761",0.01%,"98,229","22,819",23.23%,2019
Starr Ind & Liab Co - 38318,"17,517",0.00%,"11,581","23,305",201.23%,2019
State Farm Gen Ins Co - 25151,"17,623,154",1.63%,"11,296,104","19,001,525",168.21%,2019
Stillwater Ins Co - 25180,"4,271,554",0.40%,"4,125,867","923,319",22.38%,2019
Sutter Ins Co - 32107,"109,246",0.01%,"135,238","16,615",12.29%,2019
Technology Ins Co Inc - 42376,"3,008",0.00%,"5,662",-722,-12.75%,2019
The Cincinnati Cas Co - 28665,73,0.00%,72, -   ,0.00%,2019
The Cincinnati Ind Co - 23280,316,0.00%,221, -   ,0.00%,2019
The Cincinnati Ins Co - 10677,"114,985",0.01%,"94,126","-14,411",-15.31%,2019
Tokio Marine Amer Ins Co - 10945,"9,372,809",0.87%,"9,428,302","1,227,987",13.02%,2019
Topa Ins Co - 18031,"2,577,170",0.24%,"2,643,603","3,955,194",149.61%,2019
Transguard Ins Co Of Amer Inc - 28886,"118,624",0.01%,"101,510","57,432",56.58%,2019
Transportation Ins Co - 20494,"54,541",0.01%,"30,837","6,616",21.45%,2019
Travelers Cas & Surety Co - 19038,"3,958,699",0.37%,"3,239,419","1,020,095",31.49%,2019
Travelers Ind Co - 25658,442,0.00%,148, -   ,0.00%,2019
Travelers Ind Co Of CT - 25682,"705,480",0.07%,"633,762","112,427",17.74%,2019
Travelers Prop Cas Co Of Amer - 25674,"50,673,423",4.69%,"47,436,768","23,118,926",48.74%,2019
Travelers Prop Cas Ins Co - 36161,"16,604,225",1.54%,"15,533,221","14,993,480",96.53%,2019
Truck Ins Exch - 21709,"1,618,625",0.15%,"1,024,899","2,760,984",269.39%,2019
United Cas Ins Co Of Amer - 11142,"551,109",0.05%,"550,488","87,481",15.89%,2019
United Fire & Cas Co - 13021,"2,270,614",0.21%,"2,595,283","1,437,240",55.38%,2019
United Serv Automobile Assn - 25941,"14,262,819",1.32%,"13,662,719","8,072,050",59.08%,2019
United States Fire Ins Co - 21113,"180,615",0.02%,"150,669","54,632",36.26%,2019
United States Liab Ins Co - 25895,"9,320,345",0.86%,"8,605,524","3,344,545",38.87%,2019
Universal N Amer Ins Co - 10759,"13,096,905",1.21%,"13,560,917","8,843,163",65.21%,2019
Us Underwriters Ins Co - 35416,590,0.00%,593,7,1.18%,2019
USAA Cas Ins Co - 25968,"8,053,347",0.74%,"8,471,433","288,042",3.40%,2019
USAA Gen Ind Co - 18600,"2,008,293",0.19%,"1,993,543","222,754",11.17%,2019
Utica Mut Ins Co - 25976,438,0.00%,600,57,9.50%,2019
Valley Forge Ins Co - 20508,"18,267",0.00%,"15,836","4,689",29.61%,2019
Verlan Fire Ins Co MD - 10815,"4,569,026",0.42%,"4,225,789","324,744",7.68%,2019
Vigilant Ins Co - 20397,"91,868",0.01%,"67,715","235,504",347.79%,2019
Wawanesa Gen Ins Co - 10683,"443,476",0.04%,"256,217","359,345",140.25%,2019
Wesco Ins Co - 25011,"32,917",0.00%,"29,689","3,244,550",10928.46%,2019
West Amer Ins Co - 44393,"2,053,024",0.19%,"1,955,063","1,593,627",81.51%,2019
Westchester Fire Ins Co - 10030,"6,299,275",0.58%,"6,289,511","2,821,690",44.86%,2019
Western Mut Ins Co - 13625,"76,292",0.01%,"77,451","48,324",62.39%,2019
Westport Ins Corp - 39845,"7,024,646",0.65%,"6,300,323","8,526,635",135.34%,2019
XL Ins Amer Inc - 24554,"18,135,818",1.68%,"16,790,267","1,079,705",6.43%,2019
Zenith Ins Co - 13269,"7,783,905",0.72%,"7,300,664","1,133,503",15.53%,2019
Zurich Amer Ins Co - 16535,"46,934,090",4.34%,"44,371,574","55,257,652",124.53%,2019
Zurich Amer Ins Co Of IL - 27855,"58,097",0.01%,"35,519","4,316",12.15%,2019
Acceptance Ind Ins Co - 20010,323,0.00%,314,-35,-11.15%,2018
Ace Amer Ins Co - 22667,"216,771",0.02%,"226,659","13,243",5.84%,2018
Aegis Security Ins Co - 33898,"692,210",0.07%,"674,911","247,417",36.66%,2018
Affiliated Fm Ins Co - 10014,"32,613,985",3.47%,"32,178,274","62,216,940",193.35%,2018
Alaska Natl Ins Co - 38733,33,0.00%,"1,486","-1,098",-73.89%,2018
Allianz Global Risks US Ins Co - 35300,"27,277,230",2.90%,"23,858,094","8,989,414",37.68%,2018
Allied Prop & Cas Ins Co - 42579,"9,643,902",1.03%,"10,112,712","7,806,083",77.19%,2018
Allied World Assur Co US Inc - 19489,"288,754",0.03%,"249,270","-1,029,225",-412.90%,2018
Allstate Ins Co - 19232,"6,624",0.00%,"8,159","187,990",2304.08%,2018
Amco Ins Co - 19100,"32,741,649",3.49%,"34,533,744","36,197,766",104.82%,2018
American Alt Ins Corp - 19720,"326,786",0.03%,"529,853","1,761,671",332.48%,2018
American Cas Co Of Reading PA - 20427,"65,986",0.01%,"50,584","63,762",126.05%,2018
American Economy Ins Co - 19690,"5,873",0.00%,"9,591","8,945",93.26%,2018
American Family Home Ins Co - 23450,931,0.00%,"16,364","5,174",31.62%,2018
American Fire & Cas Co - 24066,"36,235",0.00%,"21,320",164,0.77%,2018
American Guar & Liab Ins - 26247,"11,242,310",1.20%,"9,988,668","23,531,440",235.58%,2018
American Home Assur Co - 19380,"17,756,224",1.89%,"33,532,645","31,450,860",93.79%,2018
American Modern Home Ins Co - 23469,"16,103,341",1.71%,"15,834,695","11,627,192",73.43%,2018
American Natl Prop & Cas Co - 28401,"66,524",0.01%,"39,235","40,686",103.70%,2018
American Reliable Ins Co - 19615,"1,117,821",0.12%,"1,233,499","18,834,353",1526.90%,2018
American Security Ins Co - 42978,"24,542,442",2.61%,"31,300,594","26,965,919",86.15%,2018
American Southern Home Ins Co - 41998,136,0.00%,62,24,38.71%,2018
American States Ins Co - 19704,"12,740",0.00%,"17,623","124,681",707.49%,2018
American Zurich Ins Co - 40142,"61,429",0.01%,"37,135","2,603",7.01%,2018
Amerisure Mut Ins Co - 23396,"6,156",0.00%,"5,866",523,8.92%,2018
Amica Mut Ins Co - 19976,"930,153",0.10%,"909,650","906,956",99.70%,2018
Arch Ins Co - 11150,"137,608",0.01%,"152,524","2,439,870",1599.66%,2018
Armed Forces Ins Exch - 41459,"284,486",0.03%,"289,788","-44,545",-15.37%,2018
ASI Select Ins Corp - 14042,"968,208",0.10%,"693,395","2,675,811",385.90%,2018
Aspen Amer Ins Co - 43460,"1,950,391",0.21%,"1,927,345","1,571,776",81.55%,2018
Atlantic Specialty Ins Co - 27154,"467,839",0.05%,"441,008","92,430",20.96%,2018
AXA Ins Co - 33022,"3,919,004",0.42%,"3,953,362","182,562",4.62%,2018
Axis Ins Co - 37273,"657,369",0.07%,"762,807","3,883,516",509.11%,2018
AXIS Reins Co - 20370,"3,021",0.00%,"2,577","-2,141",-83.08%,2018
Berkley Natl Ins Co - 38911,"75,248",0.01%,"72,650","5,812,439",8000.60%,2018
Berkley Regional Ins Co - 29580,"170,895",0.02%,"148,411","74,505",50.20%,2018
Berkshire Hathaway Specialty Ins Co - 22276,"2,064",0.00%,"1,992","-1,695",-85.09%,2018
BITCO Gen Ins Corp - 20095,"1,348",0.00%,618,300,48.54%,2018
BITCO Natl Ins Co - 20109,330,0.00%,151, -   ,0.00%,2018
California Capital Ins Co - 13544,"15,575,924",1.66%,"15,267,634","34,991,400",229.19%,2018
California Cas Ind Exch - 20117,"199,700",0.02%,"193,976","228,241",117.66%,2018
California Mut Ins Co - 27480,"159,417",0.02%,"164,150","51,027",31.09%,2018
Capitol Ind Corp - 10472,"2,307",0.00%,"11,519",-992,-8.61%,2018
Catlin Ins Co - 19518,"829,958",0.09%,"198,645","119,982",60.40%,2018
Century Natl Ins Co - 26905,"5,260,339",0.56%,"5,460,598","6,443,035",117.99%,2018
Church Mut Ins Co - 18767,"145,300",0.02%,"130,487","336,292",257.72%,2018
Citizens Ins Co Of Amer - 31534,"494,260",0.05%,"536,323","499,532",93.14%,2018
Civic Prop & Cas Co  - 10315,"2,485,094",0.26%,"2,381,770","589,414",24.75%,2018
Civil Serv Employees Ins Co - 10693,"3,812,187",0.41%,"3,942,807","922,843",23.41%,2018
Coastal Select Ins Co - 10887,"75,010",0.01%,"78,506","362,218",461.39%,2018
Constitution Ins Co - 32190,"135,857",0.01%,"35,269","13,250",37.57%,2018
Continental Cas Co - 20443,"8,013,446",0.85%,"7,389,590","35,514,297",480.60%,2018
Continental Ins Co - 35289,"215,721",0.02%,"257,859","475,884",184.55%,2018
Crestbrook Ins Co - 18961,"148,467",0.02%,"110,085","107,360",97.52%,2018
Crusader Ins Co - 14010,"99,286",0.01%,"44,265","3,199",7.23%,2018
CSAA Fire & Cas Ins Co - 10921,"56,061,280",5.97%,"54,484,893","94,460,309",173.37%,2018
CSAA Ins Exch - 15539,"2,424,035",0.26%,"2,336,182","2,990,626",128.01%,2018
CSE Safeguard Ins Co - 18953,"33,326,911",3.55%,"30,521,109","33,592,227",110.06%,2018
Diamond State Ins Co - 42048,"23,869",0.00%,"22,783",-163,-0.72%,2018
Dorinco Reins Co - 33499,"1,112,906",0.12%,"1,152,251", -   ,0.00%,2018
Eagle W Ins Co - 12890,"648,608",0.07%,"680,320","684,386",100.60%,2018
Electric Ins Co - 21261,"22,578",0.00%,"26,710", -   ,0.00%,2018
Empire Fire & Marine Ins Co - 21326,"9,845",0.00%,"9,830",-514,-5.23%,2018
Employers Ins Co of Wausau - 21458,"3,064,880",0.33%,"2,956,858","4,445,005",150.33%,2018
Employers Mut Cas Co - 21415,"1,365,626",0.15%,"1,322,545","703,504",53.19%,2018
Encompass Ins Co - 10358,"5,167,341",0.55%,"5,334,364","5,477,699",102.69%,2018
Everest Natl Ins Co  - 10120,"31,875",0.00%,"121,336","15,199",12.53%,2018
Exact Prop & Cas Co Inc - 10318,"1,712,617",0.18%,"1,717,648","1,052,629",61.28%,2018
Factory Mut Ins Co - 21482,"22,530,555",2.40%,"20,971,964","378,030,993",1802.55%,2018
Farmers Ins Exch - 21652,"9,731,063",1.04%,"10,103,229","6,151,234",60.88%,2018
Farmland Mut Ins Co - 13838,"27,633",0.00%,"29,382","30,649",104.31%,2018
Federal Ins Co - 20281,"1,613,608",0.17%,"1,665,202","1,499,274",90.04%,2018
Federated Mut Ins Co - 13935,"3,681,482",0.39%,"3,568,324","2,787,685",78.12%,2018
